"Genes","Rank"
"TCF7L1",195
"MIR196A2",886
"MAP1B",18
"DUSP9",6
"ZNF175",122
"RPRM",116
"TBX6",132
"TRIM40",151
"BMP4",684
"TFAP2D",551
"C19orf63",280
"FAM71E1",861
"NECAB1",120
"CXCL1",125
"PCDHAC2",3
"BTRC",4
"NUS1",105
"SPP1",106
"WRN",220
"ZNF575",221
"F7",261
"LOC100302650",262
"BCAT1",367
"VEGFC",368
"PPFIA4",400
"RNF141",401
"OR10J5",605
"RAB40C",606
"UNKL",637
"TNRC4",638
"FTO",658
"RTN4IP1",659
"C17orf28",735
"PRKCA",738
"ARAF",763
"C5orf22",764
"LRRC66",777
"RBM24",778
"NKD2",853
"BARX2",854
"DCDC2",894
"HCG22",895
"PKD1",919
"HYAL1",920
